country,year,pm25,iso3,yll_asmr,diff,ln_pm25,ln_yll
Afghanistan,2019.0,119.77,AFG,6.19,0.0,4.785573236959415,1.8229350866965048
Albania,2019.0,21.48,ALB,4.99,3.0,3.067122269640664,1.6074359097634274
Albania,2019.0,10.32,ALB,4.99,0.0,2.334083760053417,1.6074359097634274
Algeria,2019.0,21.53,DZA,0.89,0.0,3.0694473113762717,-0.11653381625595151
Australia,2010.0,15.186666666666667,AUS,0.17,0.0,2.7204178499108718,-1.7719568419318752
Australia,2010.0,12.591666666666667,AUS,0.17,1.0,2.5330352194906935,-1.7719568419318752
Australia,2010.0,14.45,AUS,0.17,2.0,2.670694414558441,-1.7719568419318752
Australia,2010.0,9.940000000000001,AUS,0.17,3.0,2.296567020668483,-1.7719568419318752
Australia,2019.0,6.845238095238095,AUS,0.81,3.0,1.9235532419540369,-0.21072103131565253
Australia,2019.0,7.28,AUS,0.81,2.0,1.9851308622085946,-0.21072103131565253
Australia,2019.0,8.06,AUS,0.81,1.0,2.086913556518537,-0.21072103131565253
Australia,2019.0,7.455,AUS,0.81,0.0,2.0088849482167017,-0.21072103131565253
Austria,2010.0,18.35727272727273,AUT,0.1,0.0,2.910025829892361,-2.3025850929940455
Austria,2010.0,15.902173913043478,AUT,0.1,3.0,2.766455823971084,-2.3025850929940455
Austria,2019.0,12.143714285714287,AUT,0.4,3.0,2.496811693179065,-0.916290731874155
Austria,2019.0,12.575135135135136,AUT,0.4,2.0,2.5317214622608755,-0.916290731874155
Austria,2019.0,13.563055555555556,AUT,0.4,1.0,2.607349593083341,-0.916290731874155
Austria,2019.0,11.086857142857143,AUT,0.4,0.0,2.405760365603669,-0.916290731874155
Bahamas,2019.0,5.23,BHS,3.12,1.0,1.6544112780768316,1.1378330018213911
Bahamas,2019.0,4.06,BHS,3.12,0.0,1.4011829736136412,1.1378330018213911
Bahamas,2020.0,3.2,BHS,20.39,0.0,1.1631508098056809,3.015044584586364
Bahrain,2010.0,57.8975,BHR,0.81,2.0,4.058674205753839,-0.21072103131565253
Bahrain,2019.0,60.75,BHR,0.58,3.0,4.1067670822206574,-0.5447271754416722
Bahrain,2019.0,62.64,BHR,0.58,2.0,4.137404051682548,-0.5447271754416722
Bahrain,2019.0,43.38999999999999,BHR,0.58,0.0,3.7702289998102594,-0.5447271754416722
Bangladesh,2010.0,92.65,BGD,0.71,0.0,4.528828952731369,-0.342490308946776
Bangladesh,2010.0,101.475,BGD,0.71,1.0,4.619812462724961,-0.342490308946776
Bangladesh,2010.0,100.975,BGD,0.71,2.0,4.614872961449477,-0.342490308946776
Bangladesh,2010.0,76.2475,BGD,0.71,3.0,4.333984628064774,-0.342490308946776
Bangladesh,2019.0,67.465,BGD,0.52,3.0,4.211608944882751,-0.6539264674066639
Bangladesh,2019.0,50.25111111111111,BGD,0.52,2.0,3.9170326583586283,-0.6539264674066639
Bangladesh,2019.0,72.29375,BGD,0.52,1.0,4.280737680061574,-0.6539264674066639
Bangladesh,2019.0,86.48,BGD,0.52,0.0,4.4599131733309525,-0.6539264674066639
Belgium,2010.0,16.721818181818183,BEL,0.08,0.0,2.816714344676181,-2.5257286443082556
Belgium,2010.0,14.81,BEL,0.08,3.0,2.6953026282797072,-2.5257286443082556
Belgium,2019.0,12.4475,BEL,0.26,3.0,2.5215197995342007,-1.3470736479666092
Belgium,2019.0,12.10891304347826,BEL,0.26,2.0,2.4939417965983943,-1.3470736479666092
Belgium,2019.0,12.55177777777778,BEL,0.26,1.0,2.529862311145409,-1.3470736479666092
Belgium,2019.0,10.925531914893616,BEL,0.26,0.0,2.3911024276585544,-1.3470736479666092
Bosnia and Herzegovina,2010.0,64.77,BIH,0.27,0.0,4.170842533194826,-1.3093333199837622
Bosnia and Herzegovina,2019.0,43.20333333333334,BIH,0.39,3.0,3.765917652767174,-0.941608539858445
Bosnia and Herzegovina,2019.0,48.9875,BIH,0.39,2.0,3.8915651635257498,-0.941608539858445
Bosnia and Herzegovina,2019.0,49.825,BIH,0.39,1.0,3.9085168660988585,-0.941608539858445
Bosnia and Herzegovina,2019.0,38.95666666666667,BIH,0.39,0.0,3.6624499172769562,-0.941608539858445
Brazil,2010.0,16.776666666666667,BRA,1.4,0.0,2.819989032120159,0.3364722366212129
Brazil,2010.0,15.646,BRA,1.4,1.0,2.750215293262889,0.3364722366212129
Brazil,2010.0,15.307999999999998,BRA,1.4,2.0,2.7283755675634556,0.3364722366212129
Brazil,2010.0,14.16,BRA,1.4,3.0,2.6504210882655737,0.3364722366212129
Brazil,2019.0,15.6,BRA,1.48,3.0,2.747270914255491,0.3920420877760237
Brazil,2019.0,15.223333333333333,BRA,1.48,1.0,2.722829338528798,0.3920420877760237
Brazil,2019.0,15.43,BRA,1.48,0.0,2.7363136663750693,0.3920420877760237
Bulgaria,2010.0,23.8475,BGR,0.73,0.0,3.171679390037226,-0.31471074483970024
Bulgaria,2010.0,19.955714285714286,BGR,0.73,3.0,2.993515532684146,-0.31471074483970024
Bulgaria,2019.0,19.228,BGR,2.26,3.0,2.956367550031714,0.8153648132841944
Bulgaria,2019.0,19.565714285714286,BGR,2.26,2.0,2.9737787633381187,0.8153648132841944
Bulgaria,2019.0,19.584285714285716,BGR,2.26,1.0,2.9747274953924956,0.8153648132841944
Bulgaria,2019.0,16.538571428571426,BGR,2.26,0.0,2.805695315162324,0.8153648132841944
Cameroon,2010.0,82.66666666666667,CMR,5.54,2.0,4.4148164574968725,1.7119945007591924
Canada,2010.0,6.885225225225225,CAN,0.07,3.0,1.9293778440965907,-2.659260036932778
Canada,2019.0,5.857341772151899,CAN,0.3,3.0,1.767695878171434,-1.2039728043259361
Canada,2019.0,6.78319018404908,CAN,0.3,2.0,1.9144475199092332,-1.2039728043259361
Canada,2019.0,7.503928571428572,CAN,0.3,1.0,2.015426692925754,-1.2039728043259361
Canada,2019.0,5.92125,CAN,0.3,0.0,1.7785475752558244,-1.2039728043259361
Chile,2010.0,25.83818181818182,CHL,0.15,0.0,3.251853313365345,-1.8971199848858813
Chile,2010.0,26.223636363636363,CHL,0.15,1.0,3.2666611553569935,-1.8971199848858813
Chile,2010.0,25.12090909090909,CHL,0.15,2.0,3.223700530869883,-1.8971199848858813
Chile,2010.0,30.403684210526315,CHL,0.15,3.0,3.4145637922048575,-1.8971199848858813
Chile,2019.0,25.910810810810812,CHL,0.36,3.0,3.2546602874387265,-1.0216512475319814
Chile,2019.0,15.0,CHL,0.36,1.0,2.70805020110221,-1.0216512475319814
Chile,2019.0,19.02972972972973,CHL,0.36,0.0,2.946002478880863,-1.0216512475319814
China,2010.0,75.53666666666668,CHN,14.68,1.0,4.3246181895787235,2.6864860231863696
China,2010.0,56.602,CHN,14.68,2.0,4.036044320273892,2.6864860231863696
China,2010.0,75.35,CHN,14.68,3.0,4.3221439250725044,2.6864860231863696
China,2019.0,45.62125454545454,CHN,9.46,3.0,3.8203737163784894,2.247072383063787
China,2019.0,44.61554054054054,CHN,9.46,2.0,3.798082240947006,2.247072383063787
China,2019.0,40.40886066204773,CHN,9.46,1.0,3.6990490842372745,2.247072383063787
China,2019.0,38.508755144032925,CHN,9.46,0.0,3.650885621779354,2.247072383063787
Colombia,2010.0,32.33,COL,0.4,0.0,3.4759955917373415,-0.916290731874155
Colombia,2010.0,22.5,COL,0.4,1.0,3.1135153092103742,-0.916290731874155
Colombia,2010.0,24.833333333333332,COL,0.4,2.0,3.2121868367174042,-0.916290731874155
Colombia,2010.0,22.35,COL,0.4,3.0,3.106826321059578,-0.916290731874155
Colombia,2019.0,16.655,COL,4.94,3.0,2.812710471645643,1.5973653311998313
Colombia,2019.0,15.21,COL,4.94,2.0,2.7219531062712017,1.5973653311998313
Colombia,2019.0,17.228,COL,4.94,1.0,2.846535967191864,1.5973653311998313
Colombia,2019.0,17.309,COL,4.94,0.0,2.8512265974442617,1.5973653311998313
Costa Rica,2010.0,18.0,CRI,0.15,3.0,2.8903717578961645,-1.8971199848858813
Costa Rica,2019.0,22.5,CRI,2.07,1.0,3.1135153092103742,0.7275486072772777
Costa Rica,2019.0,7.4,CRI,2.07,0.0,2.0014800002101243,0.7275486072772777
Croatia,2010.0,23.005,HRV,0.26,3.0,3.135711583607432,-1.3470736479666092
Croatia,2019.0,17.274444444444445,HRV,0.56,3.0,2.84922820962543,-0.579818495252942
Croatia,2019.0,15.549000000000001,HRV,0.56,2.0,2.743996327875679,-0.579818495252942
Croatia,2019.0,15.6775,HRV,0.56,1.0,2.752226563435039,-0.579818495252942
Croatia,2019.0,13.715,HRV,0.56,0.0,2.6184901243895666,-0.579818495252942
Cyprus,2010.0,20.048,CYP,0.45,0.0,2.9981293981537123,-0.7985076962177716
Cyprus,2010.0,15.957999999999998,CYP,0.45,3.0,2.7699602708860893,-0.7985076962177716
Cyprus,2019.0,11.506666666666668,CYP,0.57,3.0,2.4429265775471176,-0.5621189181535413
Cyprus,2019.0,13.724,CYP,0.57,2.0,2.6191461249962034,-0.5621189181535413
Cyprus,2019.0,12.941999999999998,CYP,0.57,1.0,2.5604778366350742,-0.5621189181535413
Cyprus,2019.0,13.025,CYP,0.57,0.0,2.5668705876394307,-0.5621189181535413
Czechia,2010.0,23.613333333333337,CZE,0.53,0.0,3.1618115242465232,-0.6348782724359695
Czechia,2010.0,20.158125000000002,CZE,0.53,3.0,3.0036074329254654,-0.6348782724359695
Czechia,2019.0,18.464313725490197,CZE,2.47,3.0,2.9158398813798994,0.9042181506398859
Czechia,2019.0,18.747692307692308,CZE,2.47,2.0,2.931070667918757,0.9042181506398859
Czechia,2019.0,20.40686274509804,CZE,2.47,1.0,3.0158712533507592,0.9042181506398859
Czechia,2019.0,15.284736842105264,CZE,2.47,0.0,2.7268547384530284,0.9042181506398859
Denmark,2010.0,15.086666666666666,DNK,0.3,0.0,2.7138113515372817,-1.2039728043259361
Denmark,2010.0,11.0625,DNK,0.3,3.0,2.403561010334048,-1.2039728043259361
Denmark,2019.0,10.29,DNK,0.94,3.0,2.331172549845958,-0.06187540371808753
Denmark,2019.0,9.406,DNK,0.94,2.0,2.241347783522856,-0.06187540371808753
Denmark,2019.0,12.222,DNK,0.94,1.0,2.5032376064727235,-0.06187540371808753
Denmark,2019.0,10.242,DNK,0.94,0.0,2.3264969130403585,-0.06187540371808753
Ecuador,2010.0,19.27,ECU,0.47,0.0,2.958549482426275,-0.7550225842780328
Ecuador,2010.0,17.82,ECU,0.47,1.0,2.8803214220426634,-0.7550225842780328
Ecuador,2010.0,18.43,ECU,0.47,2.0,2.9139797716817317,-0.7550225842780328
Ecuador,2010.0,18.45,ECU,0.47,3.0,2.915064370486536,-0.7550225842780328
Ecuador,2019.0,14.07,ECU,1.86,3.0,2.644044871126298,0.62057648772511
Ecuador,2019.0,14.015,ECU,1.86,2.0,2.6401281846167515,0.62057648772511
Ecuador,2019.0,19.84,ECU,1.86,1.0,2.987700101856727,0.62057648772511
El Salvador,2010.0,29.75,SLV,0.17,0.0,3.392829131991639,-1.7719568419318752
El Salvador,2010.0,33.3,SLV,0.17,1.0,3.505557396986398,-1.7719568419318752
El Salvador,2010.0,44.6,SLV,0.17,2.0,3.7977338590260183,-1.7719568419318752
El Salvador,2010.0,43.9,SLV,0.17,3.0,3.7819143200811256,-1.7719568419318752
El Salvador,2019.0,27.1,SLV,0.25,3.0,3.299533727885655,-1.3862943611198906
El Salvador,2019.0,29.0,SLV,0.25,1.0,3.367295829986474,-1.3862943611198906
Estonia,2010.0,7.726666666666667,EST,0.59,0.0,2.044677549243496,-0.527632742082372
Estonia,2010.0,6.645714285714286,EST,0.59,3.0,1.8939721785951504,-0.527632742082372
Estonia,2019.0,5.204285714285715,EST,0.45,3.0,1.6494824619651591,-0.7985076962177716
Estonia,2019.0,4.55,EST,0.45,2.0,1.5151272329628591,-0.7985076962177716
Estonia,2019.0,6.095714285714286,EST,0.45,1.0,1.8075859481445953,-0.7985076962177716
Estonia,2019.0,4.5975,EST,0.45,0.0,1.5255126774963392,-0.7985076962177716
Ethiopia,2019.0,28.3,ETH,5.72,3.0,3.342861804649192,1.7439688053917064
Ethiopia,2019.0,27.24,ETH,5.72,2.0,3.3046864812813115,1.7439688053917064
Ethiopia,2019.0,28.79,ETH,5.72,1.0,3.3600281046240843,1.7439688053917064
Ethiopia,2019.0,20.48,ETH,5.72,0.0,3.019448800171307,1.7439688053917064
Finland,2010.0,8.529166666666667,FIN,0.19,0.0,2.143491662319298,-1.6607312068216509
Finland,2010.0,6.407692307692307,FIN,0.19,3.0,1.8574991917112602,-1.6607312068216509
Finland,2019.0,5.727142857142858,FIN,0.66,3.0,1.7452167775991023,-0.4155154439616658
Finland,2019.0,4.5128571428571425,FIN,0.66,2.0,1.5069304657586804,-0.4155154439616658
Finland,2019.0,6.016923076923077,FIN,0.66,1.0,1.7945760118658314,-0.4155154439616658
Finland,2019.0,5.308333333333334,FIN,0.66,0.0,1.6692779127901174,-0.4155154439616658
France,2010.0,17.74651515151515,FRA,0.04,0.0,2.876189167154163,-3.2188758248682006
France,2019.0,11.573565217391305,FRA,0.13,3.0,2.4487236369882375,-2.0402208285265546
France,2019.0,10.9672,FRA,0.13,2.0,2.3949090001395534,-2.0402208285265546
France,2019.0,10.373615384615384,FRA,0.13,1.0,2.3392656003060557,-2.0402208285265546
France,2019.0,9.418161764705882,FRA,0.13,0.0,2.242639927794675,-2.0402208285265546
Georgia,2019.0,20.0,GEO,2.56,2.0,2.995732273553991,0.9400072584914712
Germany,2010.0,17.34602409638554,DEU,0.07,0.0,2.853363321422232,-2.659260036932778
Germany,2010.0,14.110733944954127,DEU,0.07,3.0,2.6469357804548266,-2.659260036932778
Germany,2019.0,12.198529411764707,DEU,0.28,3.0,2.5013154044543926,-1.2729656758128873
Germany,2019.0,12.078344827586207,DEU,0.28,2.0,2.491414165534979,-1.2729656758128873
Germany,2019.0,12.579533333333334,DEU,0.28,1.0,2.532071154664775,-1.2729656758128873
Germany,2019.0,10.363333333333333,DEU,0.28,0.0,2.338273935402553,-1.2729656758128873
Ghana,2019.0,55.0,GHA,3.04,3.0,4.007333185232471,1.1118575154181303
Greece,2010.0,14.86,GRC,0.07,0.0,2.698673039289613,-2.659260036932778
Greece,2010.0,10.02,GRC,0.07,3.0,2.3045830956567186,-2.659260036932778
Greece,2019.0,17.05142857142857,GRC,0.21,3.0,2.836233987400137,-1.5606477482646683
Greece,2019.0,16.45875,GRC,0.21,2.0,2.8008572506884164,-1.5606477482646683
Greece,2019.0,16.599999999999998,GRC,0.21,1.0,2.8094026953624973,-1.5606477482646683
Greece,2019.0,16.838,GRC,0.21,0.0,2.8236382369154724,-1.5606477482646683
Guatemala,2010.0,40.88,GTM,0.38,3.0,3.7106409458954492,-0.9675840262617056
Guatemala,2019.0,14.0,GTM,4.31,0.0,2.6390573296152584,1.4609379041156563
Honduras,2010.0,36.0,HND,2.12,3.0,3.58351893845611,0.7514160886839212
Hungary,2010.0,21.6425,HUN,0.8,0.0,3.0746589741077917,-0.2231435513142097
Hungary,2010.0,17.023333333333333,HUN,0.8,3.0,2.834584951991443,-0.2231435513142097
Hungary,2019.0,10.13,HUN,3.57,3.0,2.315501318260592,1.2725655957915476
Hungary,2019.0,14.85,HUN,3.57,2.0,2.6979998652487085,1.2725655957915476
Hungary,2019.0,18.578333333333333,HUN,3.57,1.0,2.9219960271734773,1.2725655957915476
Hungary,2019.0,14.804285714285713,HUN,3.57,0.0,2.694916714140813,1.2725655957915476
Iceland,2010.0,7.735,ISL,0.07,0.0,2.0457554840250296,-2.659260036932778
Iceland,2019.0,6.695,ISL,0.27,3.0,1.9013609791431358,-1.3093333199837622
Iceland,2019.0,5.2,ISL,0.27,2.0,1.6486586255873816,-1.3093333199837622
Iceland,2019.0,4.333333333333333,ISL,0.27,1.0,1.466337068793427,-1.3093333199837622
Iceland,2019.0,3.9879999999999995,ISL,0.27,0.0,1.3832898520995918,-1.3093333199837622
India,2019.0,39.38616438356164,IND,0.52,3.0,3.6734145968559346,-0.6539264674066639
India,2019.0,39.31032258064516,IND,0.52,2.0,3.671487145470951,-0.6539264674066639
India,2019.0,42.80317073170732,IND,0.52,1.0,3.756612182360303,-0.6539264674066639
India,2019.0,39.6319696969697,IND,0.52,0.0,3.6796361081365405,-0.6539264674066639
Indonesia,2010.0,17.0,IDN,9.12,1.0,2.833213344056216,2.21046980408624
Indonesia,2019.0,42.65,IDN,6.46,3.0,3.753027273937688,1.8656293177945105
Indonesia,2019.0,30.060000000000002,IDN,6.46,2.0,3.4031953843248286,1.8656293177945105
Indonesia,2019.0,41.25,IDN,6.46,1.0,3.71965111278069,1.8656293177945105
Indonesia,2019.0,46.35,IDN,6.46,0.0,3.836221292011864,1.8656293177945105
Iran (Islamic Republic of),2010.0,48.26,Iran (Islamic Republic of),4.28,1.0,3.8766030601968855,1.4539530095937054
Iran (Islamic Republic of),2010.0,36.098333333333336,Iran (Islamic Republic of),4.28,2.0,3.58624669622135,1.4539530095937054
Iran (Islamic Republic of),2010.0,44.824999999999996,Iran (Islamic Republic of),4.28,3.0,3.8027660194911963,1.4539530095937054
Iran (Islamic Republic of),2019.0,31.882105263157893,Iran (Islamic Republic of),2.02,3.0,3.4620448888545177,0.7030975114131134
Iran (Islamic Republic of),2019.0,36.9625,Iran (Islamic Republic of),2.02,2.0,3.6099038851785954,0.7030975114131134
Iran (Islamic Republic of),2019.0,29.95529411764706,Iran (Islamic Republic of),2.02,1.0,3.3997060741372285,0.7030975114131134
Iran (Islamic Republic of),2019.0,23.9065,Iran (Islamic Republic of),2.02,0.0,3.17415038848847,0.7030975114131134
Iran (Islamic Republic of),2020.0,27.056,Iran (Islamic Republic of),32.15,0.0,3.2979087921562247,3.4704124506836282
Iraq,2019.0,43.339999999999996,IRQ,0.97,0.0,3.7690759961082128,-0.030459207484708574
Ireland,2010.0,11.46,IRL,0.12,0.0,2.4388627112865935,-2.120263536200091
Ireland,2010.0,10.876000000000001,IRL,0.12,3.0,2.3865585267702243,-2.120263536200091
Ireland,2019.0,8.866666666666667,IRL,0.25,3.0,2.1822989271195437,-1.3862943611198906
Ireland,2019.0,7.332857142857143,IRL,0.25,2.0,1.9923652275168984,-1.3862943611198906
Ireland,2019.0,7.87125,IRL,0.25,1.0,2.0632168808208156,-1.3862943611198906
Ireland,2019.0,8.896153846153847,IRL,0.25,0.0,2.1856190312159116,-1.3862943611198906
Israel,2010.0,21.20736842105263,ISR,0.09,2.0,3.0543486883213227,-2.4079456086518722
Israel,2010.0,22.178421052631577,ISR,0.09,3.0,3.0991197914996755,-2.4079456086518722
Italy,2010.0,20.088117647058823,ITA,0.05,0.0,3.000128478422106,-2.995732273553991
Italy,2010.0,18.26977777777778,ITA,0.05,3.0,2.9052482070853887,-2.995732273553991
Italy,2019.0,16.37331550802139,ITA,0.06,3.0,2.795652906490709,-2.8134107167600364
Italy,2019.0,17.186587677725118,ITA,0.06,2.0,2.8441292934492464,-2.8134107167600364
Italy,2019.0,15.28847926267281,ITA,0.06,1.0,2.727099555391712,-2.8134107167600364
Italy,2019.0,14.4304,ITA,0.06,0.0,2.6693370924293065,-2.8134107167600364
Japan,2010.0,10.642857142857142,JPN,0.55,0.0,2.3648889763302003,-0.5978370007556204
Japan,2010.0,16.8,JPN,0.55,1.0,2.8213788864092133,-0.5978370007556204
Japan,2010.0,14.558666666666666,JPN,0.55,2.0,2.6781864634837103,-0.5978370007556204
Japan,2019.0,11.471333333333332,JPN,0.57,1.0,2.439851169662856,-0.5621189181535413
Jordan,2019.0,26.83,JOR,0.13,0.0,3.2895206644375325,-2.0402208285265546
Kazakhstan,2019.0,32.25,KAZ,3.18,1.0,3.4735180432417816,1.1568811967920856
Kazakhstan,2019.0,21.77,KAZ,3.18,0.0,3.080532875246456,1.1568811967920856
Kenya,2019.0,5.91,KEN,3.14,1.0,1.776645831418007,1.144222799920162
Kenya,2019.0,10.79,KEN,3.14,0.0,2.378619779270043,1.144222799920162
Kuwait,2019.0,35.09166666666667,KWT,0.12,3.0,3.5579636853798817,-2.120263536200091
Kuwait,2019.0,65.986,KWT,0.12,2.0,4.189442598313418,-2.120263536200091
Kuwait,2019.0,56.5,KWT,0.12,1.0,4.034240638152395,-2.120263536200091
Kuwait,2019.0,40.74333333333333,KWT,0.12,0.0,3.7072922271210618,-2.120263536200091
Kuwait,2020.0,37.444,KWT,4.98,0.0,3.6228464835094982,1.6054298910365616
